;I_bat;I_in;V_bat;V_in;P_in;P_bat;E_in;E_bat;0
2019-07-19 18:30:00;1.2727868498327758e-05;-3.186806172575251e-05;4.2004370762140475;1.9433934834882942;6.195129827585591e-05;5.346262746601106e-05;;;
2019-07-19 18:35:00;1.0516941093645486e-05;-2.7233992384615383e-05;4.200403729397993;1.9192230977658864;5.225076319659992e-05;4.417541014595775e-05;;;
2019-07-19 18:40:00;6.684635280936455e-06;-1.833865080936455e-05;4.200367439431438;1.8584320207257525;3.413475838661823e-05;2.807794194153965e-05;;;
2019-07-19 18:45:00;4.239898315436241e-06;-1.2801118869127516e-05;4.200332978006712;1.7998323938288592;2.303799713483271e-05;1.780899323422449e-05;;;
2019-07-19 18:50:00;1.8280434515050166e-06;-7.353222906354515e-06;4.200322122010033;1.6288318247391305;1.2149951762931632e-05;7.678376257433084e-06;;;
2019-07-19 18:55:00;2.9334231605351168e-06;-9.948959130434782e-06;4.200322327461539;1.5571306556555184;1.6639553439061538e-05;1.232132791492225e-05;;;
2019-07-19 19:00:00;3.4064092474916386e-06;-1.0686662505016722e-05;4.200331335110368;1.7601224185384614;1.8831856222766973e-05;1.4308038089481914e-05;;;
2019-07-19 19:05:00;2.0315121471571903e-06;-7.6028120602006684e-06;4.200430726996656;1.6674207111772577;1.2697167704895344e-05;8.533220700510243e-06;;;
2019-07-19 19:10:00;1.0628148595317726e-06;-5.616666157190635e-06;4.200493825966555;1.4762092067926422;8.3303367531741e-06;4.464346752744258e-06;;;
2019-07-19 19:15:00;3.434352809364548e-07;-4.233396444816054e-06;4.200529047250836;1.177232876173913;5.008514976829901e-06;1.4426091303544636e-06;;;
2019-07-19 19:20:00;-2.229593244147157e-07;-3.0780713344481607e-06;4.2005407079699;0.8662088912909699;2.703175583375612e-06;-9.365484063881193e-07;;;
2019-07-19 19:25:00;-4.965510234113712e-07;-1.8667362809364548e-06;4.200532155889633;0.4941755442876254;9.559166985104157e-07;-2.0857782511779553e-06;;;
2019-07-19 19:30:00;-5.802399030100334e-07;-1.0060417324414714e-06;4.2004816236421405;0.09514155085953177;1.0707784132399964e-07;-2.4372874741395517e-06;;;
2019-07-19 19:35:00;-5.524629063545151e-07;-5.288726053511705e-07;4.200437726230769;0.04833595432107023;2.550582300474436e-08;-2.320586027203384e-06;;;
2019-07-19 19:40:00;-5.515947424749164e-07;-3.097245785953177e-07;4.200410625157191;0.04734408568561873;1.471546593644506e-08;-2.3169244666906383e-06;;;
2019-07-19 19:45:00;-5.421073846153845e-07;-2.078610033444816e-07;4.200403078073579;0.06032531328093645;1.2398309498525564e-08;-2.277069510190072e-06;;;
2019-07-19 19:50:00;-5.50361618729097e-07;-1.584311973244147e-07;4.200380813197325;0.06501196748494983;1.0297357098986408e-08;-2.3117283737017665e-06;;;
2019-07-19 19:55:00;-5.541032073578596e-07;-1.3623422073578595e-07;4.200376424023412;0.06476871823411372;8.814124266129237e-09;-2.327442029149402e-06;;;
2019-07-19 20:00:00;-5.522036923076923e-07;-1.2484687959866218e-07;4.200365586220736;0.06453386291304349;8.050476876228105e-09;-2.3194573883587197e-06;;;
2019-07-19 20:05:00;-5.516486387959866e-07;-1.1805576254180602e-07;4.2003679293377925;0.06432058726086956;7.587289737798933e-09;-2.3171272843694136e-06;;;
2019-07-19 20:10:00;-5.529261003344482e-07;-1.149944949832776e-07;4.200357943237458;0.06420828242809365;7.375498079542946e-09;-2.3224875383296446e-06;;;
2019-07-19 20:15:00;-5.515939799331104e-07;-1.1427942140468228e-07;4.200346949685619;0.0641146225652174;7.309520576006444e-09;-2.316886085145632e-06;;;
2019-07-19 20:20:00;-5.524244630872483e-07;-1.1609342953020135e-07;4.200347592644295;0.064305343147651;7.456938288862114e-09;-2.320374772282335e-06;;;
2019-07-19 20:25:00;-5.547142207357859e-07;-1.1620651505016722e-07;4.200349897257525;0.06454294030100334;7.493393542641896e-09;-2.329993832283046e-06;;;
2019-07-19 20:30:00;-5.519207725752508e-07;-1.1483799999999999e-07;4.200353466675586;0.06416129737123746;7.359736866358397e-09;-2.3182623076939856e-06;;;
2019-07-19 20:35:00;-5.545447224080267e-07;-1.102621304347826e-07;4.200347039250836;0.06403737341471571;7.054750677738876e-09;-2.329280267111362e-06;;;
